page,title,description,h1,h2s,metaTitleLength,metaDescriptionLength,h1Length,h2sLengths,metaDescriptionCount,h1Count,h2Count,hasInvalidHeadingOrder
"/","Pilot Instructional Center | Flight Training near Kansas City","Train with senior instructors at Pilot Instructional Center near Kansas City. We offer safety-first flight training from your first flight to professional.","Launch Your Aviation Career with PIC near Kansas City","undefined","undefined","155","53","undefined","1","1","12","false"
"/500.html","500 page | Something went wrong on our end. Please refresh the page or contact PIC for assistance.","Something went wrong on our end. Please refresh the page or contact Pilot Instructional Center for assistance.","500 - We're Having Trouble Loading This Page - Please Try Again","undefined","undefined","110","63","undefined","1","1","2","false"
"/404.html","404 – Page Not Found | Pilot Instructional Center | Kansas","The page you’re looking for doesn’t exist. Return to Pilot Instructional Center to explore flight training programs and resources.","404 - Page Not Found - Explore Our Flight Training Programs","undefined","undefined","130","59","undefined","1","1","2","false"
"/terms-of-service/","Terms of Service | Pilot Instructional Center | New Century Kansas","Terms and conditions for using the Pilot Instructional Center website and services.","Terms of Service for Pilot Instructional Center Website","undefined","undefined","83","55","undefined","1","1","12","false"
"/privacy-policy/","Privacy Policy | Pilot Instructional Center  | New Century KS","Pilot Instructional Center's privacy policy explains how we collect, use, and protect your personal information when you use our website and services.","Privacy Policy for the Pilot Instructional Center Website","undefined","undefined","150","57","undefined","1","1","11","false"
"/pricing/","Flight Training Pricing | Pilot Instructional Center","View transparent flight training pricing at Pilot Instructional Center near Kansas City. Understand the exact costs for every pilot certificate and rating.","Flight Training Pricing  at Pilot Instructional Center","undefined","undefined","155","54","undefined","1","1","5","false"
"/pilot-training/","Flight Training PIC Areas Served | Serving the Kansas City Metro","Discover where Pilot Instructional Center provides elite flight training. From Kansas to Missouri, we're building the next generation of aviators.","Flight Training Across the Kansas City Metro","undefined","undefined","146","44","undefined","1","1","7","false"
"/new-to-flying/","New to Flying? Start Here | Pilot Instructional Center  | New Century KS","No experience required to start. Learn how to become a pilot with clear guidance, senior instructors, and a safety-first approach at New Century AirCenter.","Start Your Aviation Journey with PIC, no experience needed","undefined","undefined","155","58","undefined","1","1","7","false"
"/flight-training/","Flight Training Programs | Pilot Instructional Center | Near Kansas City","Explore structured pilot training programs at Pilot Instructional Center. From Private Pilot to CFI, our curriculum is built on safety and deep experience.","Professional Flight Training You Can Trust","undefined","undefined","155","42","undefined","1","1","5","false"
"/faqs/","Frequently Asked Questions | Pilot Instructional Center  | New Century KS","Find answers about flight training, costs, aircraft, scheduling, requirements, and PIC’s senior-instructor training model.","Frequently Asked Questions","undefined","undefined","122","26","undefined","1","1","4","false"
"/enroll-confirmation/","Enrollment Complete | Pilot Instructional Center  | New Century KS","Your enrollment has been submitted. A PIC team member will reach out soon to help you begin your training journey.","Your Enrollment Submission at PIC Was Successful","undefined","undefined","114","48","undefined","1","1","2","false"
"/discovery-flight-confirmation/","Discovery Flight Booked | Pilot Instructional Center | New Century KS","Your discovery flight is confirmed. Get ready for an unforgettable introduction to aviation at Pilot Instructional Center.","Your Discovery Flight Booking is Now Confirmed at PIC","undefined","undefined","122","53","undefined","1","1","2","false"
"/contact-confirmation/","Contact confirmation | Pilot Instructional Center | New Century KS","Thank you for contacting us. PIC will get back to you shortly to assist with your aviation questions.","Contact Confirmation","undefined","undefined","101","20","undefined","1","1","2","false"
"/discovery-flight/","Book a Discovery Flight	Experience Aviation in Kansas City | Pilot Instructional Center","Take your first flight at Pilot Instructional Center. Sit at the controls and experience flying with an experienced instructor.","Book Your First Discovery Flight at Pilot Instructional Center","undefined","undefined","127","62","undefined","1","1","6","false"
"/contact/","Contact Us | Pilot Instructional Center | New Century KS","Get in touch with the Pilot Instructional Center team. Whether you have questions about training, pricing, or scheduling, our experts are here to help you.","Thank You for Contacting the Pilot Instructional Center","undefined","undefined","155","55","undefined","1","1","5","false"
